id;Шаблон;Когда брать;Кадры (полная лестница);Parent / ось;Сжатие;Эталон
T0;Один кадр;Одна фраза, одно место, одно действие. Имя-титр. Ничего из T1–T10 не подошло.;T0-K1 · СРЕДНИЙ (или ОБЩИЙ, если место важнее) — {место}: {действие};самостоятельный;некуда;ОБЩИЙ улица — дома и человек мелкий («Жил в посёлке»)
T1;Диалог двое;Двое в одном месте говорят / спорят / спрашивают. Ось одна, камера не переходит стол.;"T1-K1 · ОБЩИЙ — {место}: оба в кадре
T1-K2 · СРЕДНИЙ / с плеча — {A}: реплика или жест
T1-K3 · СРЕДНИЙ / с плеча — {B}: слушает / смотрит
T1-K4 · ДЕТАЛЬ — {предмет} между ними
T1-K5 · КРУПНЫЙ — лицо того, кого ударило";"K1 самостоятельный (master).
K2 и K3 — разные ноги V, parent нет.
Продолжение той же стороны → parent первого этой стороны.
K4 самостоятельный (третий актёр).
K5 parent стороны этого лица (K2 или K3).
Ось 180° одна.";"T1-c3: нет предмета → K1+K2+K3
T1-c2: место уже было → только K2+K3
T1-c1: нет удара → без K5; нет предмета → без K4";"ОБЩИЙ кабинет — оба за столом
СРЕДНИЙ / с плеча — следователь кладёт папку
СРЕДНИЙ / с плеча — подозреваемый смотрит на папку
КРУПНЫЙ — рука обводит имя
КРУПНЫЙ — реакция на лице"
T2;Пришёл и нашёл;Новое место + поиск / достал / прочитал. Смысл в предмете и в том, что понял.;"T2-K1 · ОБЩИЙ — {место}: вошёл / стоит
T2-K2 · СРЕДНИЙ — тянет / открывает / берёт {предмет}
T2-K3 · ДЕТАЛЬ — {предмет} крупно (обложка, дата, имя)
T2-K4 · КРУПНЫЙ — лицо: понял / испугался / решил";"K1 самостоятельный (новое место).
K2–K4 parent = K1.";"T2-c3: место знакомо → без K1, старт с K2
T2-c2: нет «понял» → без K4
T2-c1: предмет не назван → не T2, бери T3 или T9";"ОБЩИЙ стеллажи — вошёл между рядами
СРЕДНИЙ — тянет папку с полки
ДЕТАЛЬ — обложка / дата
КРУПНЫЙ — лицо понял"
T3;Новое место;Смена географии. Ещё нет диалога и нет находки. Дальше цепляй T1 / T2 / T9.;"T3-K1 · ОБЩИЙ (или ДАЛЬНИЙ) — {новое место}: среда, человек мелкий или у входа
T3-K2 · СРЕДНИЙ — тот же человек уже внутри, одно действие";"K1 самостоятельный.
K2 parent = K1.";"T3-c1: очень коротко → только K1
T3-c0: место уже мелькало → T0 средний";"ОБЩИЙ отделение — фасад и дверь
СРЕДНИЙ — входит в холл, снимает фуражку"
T4;Взгляд;Смысл не в словах, а в том, на что смотрят: улика, человек в толпе, экран, окно.;"T4-K1 · СРЕДНИЙ / 3/4 — {кто}: смотрит
T4-K2 · ДЕТАЛЬ или ОБЩИЙ — то, что он видит
T4-K3 · КРУПНЫЙ — то же лицо: реакция
(+ если место новое — перед K1 вставь T3-K1)";"K1 самостоятельный или parent master места.
K2 самостоятельный (другая ось человек↔объект).
K3 parent = K1.";"T4-c2: реакция ясна из закадра → K1+K2
T4-c2b: предмет уже показали → K1+K3";"СРЕДНИЙ 3/4 — смотрит в толпу
ОБЩИЙ двор — тот, кого узнал, у ворот
КРУПНЫЙ — лицо: узнал"
T5;Руки и предмет;Работа / быт / улика руками: пишет, моет, режет, считает, листает.;"T5-K0 · ОБЩИЙ — {место}: человек в среде (только если место новое)
T5-K1 · СРЕДНИЙ — {кто} по пояс: жест
T5-K2 · ДЕТАЛЬ — руки + {предмет}
T5-K3 · КРУПНЫЙ — лицо (если состояние есть в тексте)";"Место знакомо → без K0.
Если был K0 — parent всех = K0.
Иначе parent = master этой локации.";"T5-c2: нет эмоции → K1+K2
T5-c1a: важен предмет → только K2
T5-c1b: важен жест → только K1";"СРЕДНИЙ кухня — стирает следы со стола
ДЕТАЛЬ — тряпка и пятно
КРУПНЫЙ — лицо, слушает дверь"
T6;Путь;Пошёл / приехал / прошёл коридор. Смысл — перемещение, не разговор.;"T6-K1 · ОБЩИЙ — {откуда}: вышел
T6-K2 · СРЕДНИЙ — в движении
T6-K3 · ОБЩИЙ — {куда}: пришёл";"K1 самостоятельный.
K2 parent = K1, если ещё то же здание/улица.
K3 самостоятельный (уже новое место).";"T6-c2: короткий переход → K1+K3
T6-c1: «ушёл» не важно → только K3";"ОБЩИЙ двор — вышел из дома
СРЕДНИЙ — идёт вдоль забора
ОБЩИЙ отделение — подходит к крыльцу"
T7;Удар;Короткий слом: услышал имя, увидел, приговор, звонок. Если это реплика в том же диалоге — хвост T1 (K4–K5), не отдельная сцена.;"T7-K1 · СРЕДНИЙ — ещё «до»
T7-K2 · ДЕТАЛЬ или КРУПНЫЙ — сам удар
T7-K3 · КРУПНЫЙ — лицо после";"K1 parent master / самостоятельный.
K2 самостоятельный, если предмет; иначе сторона говорящего.
K3 parent стороны этого лица.";"T7-c2 → K2+K3
T7-c1: удар уже в звуке → только K3";"СРЕДНИЙ — слушает приговор
ДЕТАЛЬ — штамп на бумаге
КРУПНЫЙ — лицо"
T8;Монтаж мест;Годы / «а потом служил» / другая жизнь. Каждое место — новая картинка, не покрытие одной сцены.;"T8-K1 · ОБЩИЙ — {место A}: одно действие той жизни
T8-K2 · ОБЩИЙ — {место B}: следующее
T8-K3 · ОБЩИЙ — {место C}: следующее
(сколько мест назвал закадр — столько кадров)";"У каждого parent нет.
Не мешать с T1 в одной ячейке.";Не плодить покрытие внутри одного места.;"ОБЩИЙ двор — мальчик бегает
ОБЩИЙ плац — в форме в строю
ОБЩИЙ отделение — входит на службу"
T9;Один в месте;Один человек, одно помещение. Нет диалога и нет находки. Быт, ожидание.;"T9-K1 · ОБЩИЙ — {комната}: человек в среде
T9-K2 · СРЕДНИЙ — одно бытовое действие
T9-K3 · ДЕТАЛЬ или КРУПНЫЙ — якорь (часы, кружка, окно, лицо)";"K1 самостоятельный.
K2–K3 parent = K1.
Следующий быт в той же комнате → без нового общего, parent = K1.";T9-c1: одно действие и место не новое → T0;"ОБЩИЙ кухня — сидит у окна
СРЕДНИЙ — наливает чай
ДЕТАЛЬ — часы на стене"
T10;Уход / точка;Сцена или ролик кончается: вышел, пустой стол, отъехал.;"T10-K1 · СРЕДНИЙ или КРУПНЫЙ — последнее действие / лицо
T10-K2 · ОБЩИЙ — {место} без него или он мелкий уходит";"K1 parent master.
K2 самостоятельный, если пустое место = новый смысл; иначе parent master.";"T10-c1a: только K2
T10-c1b: уход не важен → только K1";"КРУПНЫЙ — закрывает папку
ОБЩИЙ кабинет — пустой стол, он у двери"
X1;Хвост · то же место;Следующая VO-ячейка, сетап не сменился, другое действие.;X1-K1 · СРЕДНИЙ — то же {место}: новое действие;"parent = первый кадр этой локации (из прошлой ячейки).
Новый ОБЩИЙ не ставить.";Нужна деталь/лицо → добавь T5-K2 / T5-K3, parent тот же;"Ячейка N: КРУПНЫЙ двор — стирает следы
Ячейка N+1: СРЕДНИЙ двор — раскладывает вещи · родитель N"
X2;Хвост · смена места;Ячейка N место A → ячейка N+1 место B.;"X2-A · кадр места A
X2-B · кадр места B
(коридор только если назвал закадр → тогда T6)";Два мира — два master. Parent нет.;Назван переход → вставь T6 между A и B;"лаборатория — анализ · самостоятельный
зал суда — приговор · самостоятельный"
