Шаблон;№;План;Ракурс;Слот;Действие;Parent;Роль
T0;1;СРЕДНИЙ / ОБЩИЙ;—;{место};{действие};нет;вся сцена
T1;1;ОБЩИЙ;фронт / 3/4;{место};оба в кадре, география;нет;master
T1;2;СРЕДНИЙ;с плеча;{A};реплика / жест;нет;сторона V
T1;3;СРЕДНИЙ;с плеча;{B};слушает / смотрит;нет;reverse
T1;4;ДЕТАЛЬ;сверху / макро;{предмет};имя, печать, рука;нет;третий актёр
T1;5;КРУПНЫЙ;фронт / 3/4;лицо удара;реакция;сторона этого лица;удар
T2;1;ОБЩИЙ;фронт;{место};вошёл;нет;новое место
T2;2;СРЕДНИЙ;3/4;{кто}+{предмет};берёт / открывает;K1;действие
T2;3;ДЕТАЛЬ;макро;{предмет};обложка / дата / имя;K1;улика
T2;4;КРУПНЫЙ;фронт;лицо;понял;K1;реакция
T3;1;ОБЩИЙ / ДАЛЬНИЙ;фронт;{новое место};среда, человек мелкий;нет;establishing
T3;2;СРЕДНИЙ;3/4;тот же человек;уже внутри, одно действие;K1;вход в место
T4;1;СРЕДНИЙ;3/4;{кто};смотрит;master места / нет;eyeline out
T4;2;ДЕТАЛЬ / ОБЩИЙ;по объекту;то, что видит;предмет крупно / человек вдалеке;нет;ось взгляд
T4;3;КРУПНЫЙ;фронт;то же лицо;реакция;K1;eyeline back
T5;0;ОБЩИЙ;фронт;{место};человек в среде;нет;только новое место
T5;1;СРЕДНИЙ;3/4;{кто};жест по пояс;master;процесс
T5;2;ДЕТАЛЬ;макро;руки+{предмет};работа рук;master;insert
T5;3;КРУПНЫЙ;фронт;лицо;состояние;master;если есть в тексте
T6;1;ОБЩИЙ;фронт;{откуда};вышел;нет;старт пути
T6;2;СРЕДНИЙ;следование;в движении;идёт / едет;K1 если то же здание;путь
T6;3;ОБЩИЙ;фронт;{куда};пришёл;нет;новое место
T7;1;СРЕДНИЙ;3/4;{кто};ещё «до»;master / нет;до удара
T7;2;ДЕТАЛЬ / КРУПНЫЙ;макро / рот;удар;предмет / слова / бумага;нет или сторона говорящего;сам удар
T7;3;КРУПНЫЙ;фронт;лицо;после;сторона лица;слом
T8;1…n;ОБЩИЙ;фронт;{место N};одно действие той жизни;нет у каждого;смена мира
T9;1;ОБЩИЙ;фронт;{комната};человек в среде;нет;master
T9;2;СРЕДНИЙ;3/4;{кто};бытовое действие;K1;жизнь в месте
T9;3;ДЕТАЛЬ / КРУПНЫЙ;макро / лицо;якорь;часы / кружка / окно / лицо;K1;якорь сцены
T10;1;СРЕДНИЙ / КРУПНЫЙ;3/4 / фронт;{кто};последнее действие;master;точка
T10;2;ОБЩИЙ;фронт;{место};уходит / пусто;нет, если новый смысл;итог
X1;1;СРЕДНИЙ;как в прошлом;то же {место};новое действие;первый кадр локации;продолжение
X2;A/B;по месту;—;{A} затем {B};свои действия;нет;два master
